schema_version,fuel_id,airport_id,fuel_type,availability_raw,grade_or_detail,price_raw_text,other_fuels_raw,source,source_checked_at,data_checked_at
1.2,EGJB:MOGAS_SUPER,EGJB,MOGAS_SUPER,Nein,Nein,,,flyalderney.com/pilot-info + en.wikipedia (zwei Quellen),2026-08-02,2026-08-02
1.2,EGJB:UL91,EGJB,UL91,Prüfen,Prüfen,,,flyalderney.com/pilot-info + en.wikipedia (zwei Quellen),2026-08-02,2026-08-02
1.2,EGJJ:AVGAS,EGJJ,AVGAS,Ja,Ja,,,flyalderney.com/pilot-info + IVAO Channel Islands + en.wikipedia (drei Quellen),2026-08-02,2026-08-02
1.2,EGJJ:MOGAS_SUPER,EGJJ,MOGAS_SUPER,Nein,Nein,,,flyalderney.com/pilot-info + IVAO Channel Islands + en.wikipedia (drei Quellen),2026-08-02,2026-08-02
1.2,EGJJ:UL91,EGJJ,UL91,Prüfen,Prüfen,,,flyalderney.com/pilot-info + IVAO Channel Islands + en.wikipedia (drei Quellen),2026-08-02,2026-08-02
1.2,EGKA:AVGAS,EGKA,AVGAS,Ja,Avgas 100 LL,Avgas 100 LL 1.99 GBP/l laut AeroPS,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/03",2026-08-16,2026-08-16
1.2,EGKA:MOGAS_SUPER,EGKA,MOGAS_SUPER,Prüfen,Prüfen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/03",2026-08-02,2026-08-02
1.2,EGKA:UL91,EGKA,UL91,Prüfen,Prüfen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/03",2026-08-02,2026-08-02
1.2,EHAL:AVGAS,EHAL,AVGAS,Ja,AVGAS 100LL,,Tank 12000 l; 80 l/min,https://eaip.lvnl.nl/,2026-08-13,2026-08-13
1.2,EHAL:MOGAS_SUPER,EHAL,MOGAS_SUPER,Ja,MOGAS Euro 98,,Tank 10000 l; 80 l/min,https://eaip.lvnl.nl/,2026-08-13,2026-08-13
1.2,EHAL:UL91,EHAL,UL91,Nein,Nein,,,,,2026-08-02
1.2,EHHV:AVGAS,EHHV,AVGAS,Ja,Avgas 100 LL,Avgas 100 LL 0.00 EUR/l laut AeroPS,,https://www.ehhv.nl/for-pilots/fuel-and-oil,2026-08-16,2026-08-16
1.2,EHHV:MOGAS_SUPER,EHHV,MOGAS_SUPER,Ja,Mogas,Mogas 0.00 EUR/l laut AeroPS,,https://www.ehhv.nl/for-pilots/fuel-and-oil,2026-08-16,2026-08-16
1.2,EHHV:UL91,EHHV,UL91,Nein,Nicht verfügbar,,,https://www.ehhv.nl/for-pilots/fuel-and-oil,2026-08-03,2026-08-03
1.2,EHLE:AVGAS,EHLE,AVGAS,Ja,AVGAS 100LL,"3,474 €/l",,https://www.lelystadairport.nl/en/for-pilots/fuel/,2026-08-03,2026-08-03
1.2,EHLE:AVGAS_UL94,EHLE,AVGAS_UL94,Ja,AVGAS UL94,"3,093 €/l",,https://www.lelystadairport.nl/en/for-pilots/fuel/,2026-08-03,2026-08-03
1.2,EHLE:MOGAS_SUPER,EHLE,MOGAS_SUPER,Nein,Nicht verfügbar,,,https://www.lelystadairport.nl/en/for-pilots/fuel/,2026-08-03,2026-08-03
1.2,EHLE:UL91,EHLE,UL91,Nein,Kein UL91; AVGAS UL94 vorhanden,,AVGAS UL94,https://www.lelystadairport.nl/en/for-pilots/fuel/,2026-08-03,2026-08-03
1.2,EHMZ:AVGAS,EHMZ,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 04/10",2026-08-02,2026-08-02
1.2,EHMZ:MOGAS_SUPER,EHMZ,MOGAS_SUPER,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 04/10",2026-08-02,2026-08-02
1.2,EHMZ:UL91,EHMZ,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 04/10",2026-08-02,2026-08-02
1.2,EHTX:AVGAS,EHTX,AVGAS,Ja,Avgas 100 LL,Avgas 100 LL 3.30 EUR/l laut AeroPS,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/11",2026-08-16,2026-08-16
1.2,EHTX:MOGAS_SUPER,EHTX,MOGAS_SUPER,Ja,Mogas,Mogas 3.00 EUR/l laut AeroPS,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/11",2026-08-16,2026-08-16
1.2,EHTX:UL91,EHTX,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/11",2026-08-02,2026-08-02
1.2,EKAE:AVGAS,EKAE,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 10/03",2026-08-02,2026-08-02
1.2,EKAE:MOGAS_SUPER,EKAE,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 10/03",2026-08-02,2026-08-02
1.2,EKAE:UL91,EKAE,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 10/03",2026-08-02,2026-08-02
1.2,EKRN:AVGAS,EKRN,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/06",2026-08-02,2026-08-02
1.2,EKRN:MOGAS_SUPER,EKRN,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/06",2026-08-02,2026-08-02
1.2,EKRN:UL91,EKRN,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/06",2026-08-02,2026-08-02
