icao,destination,candidate,file,status,bytes,width,height,manual_choice,manual_notes
LSGS,Sion / Leukerbad,1,ImageProduction/Candidates/LSGS/LSGS_01.webp,missing,0,not_checked,not_checked,,
LSGS,Sion / Leukerbad,2,ImageProduction/Candidates/LSGS/LSGS_02.webp,missing,0,not_checked,not_checked,,
LSGS,Sion / Leukerbad,3,ImageProduction/Candidates/LSGS/LSGS_03.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,1,ImageProduction/Candidates/LSZL/LSZL_01.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,2,ImageProduction/Candidates/LSZL/LSZL_02.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,3,ImageProduction/Candidates/LSZL/LSZL_03.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,1,ImageProduction/Candidates/LIDT/LIDT_01.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,2,ImageProduction/Candidates/LIDT/LIDT_02.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,3,ImageProduction/Candidates/LIDT/LIDT_03.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,1,ImageProduction/Candidates/LSZA/LSZA_01.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,2,ImageProduction/Candidates/LSZA/LSZA_02.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,3,ImageProduction/Candidates/LSZA/LSZA_03.webp,missing,0,not_checked,not_checked,,
LFLP,Duingt / Lac d’Annecy,1,ImageProduction/Candidates/LFLP/LFLP_01.webp,missing,0,not_checked,not_checked,,
LFLP,Duingt / Lac d’Annecy,2,ImageProduction/Candidates/LFLP/LFLP_02.webp,missing,0,not_checked,not_checked,,
LFLP,Duingt / Lac d’Annecy,3,ImageProduction/Candidates/LFLP/LFLP_03.webp,missing,0,not_checked,not_checked,,
LIMW,Aosta / Pila,1,ImageProduction/Candidates/LIMW/LIMW_01.webp,missing,0,not_checked,not_checked,,
LIMW,Aosta / Pila,2,ImageProduction/Candidates/LIMW/LIMW_02.webp,missing,0,not_checked,not_checked,,
LIMW,Aosta / Pila,3,ImageProduction/Candidates/LIMW/LIMW_03.webp,missing,0,not_checked,not_checked,,
LJPZ,Izola / Piran,1,ImageProduction/Candidates/LJPZ/LJPZ_01.webp,missing,0,not_checked,not_checked,,
LJPZ,Izola / Piran,2,ImageProduction/Candidates/LJPZ/LJPZ_02.webp,missing,0,not_checked,not_checked,,
LJPZ,Izola / Piran,3,ImageProduction/Candidates/LJPZ/LJPZ_03.webp,missing,0,not_checked,not_checked,,
LDRI,Krk / Vrbnik / Šilo,1,ImageProduction/Candidates/LDRI/LDRI_01.webp,missing,0,not_checked,not_checked,,
LDRI,Krk / Vrbnik / Šilo,2,ImageProduction/Candidates/LDRI/LDRI_02.webp,missing,0,not_checked,not_checked,,
LDRI,Krk / Vrbnik / Šilo,3,ImageProduction/Candidates/LDRI/LDRI_03.webp,missing,0,not_checked,not_checked,,
LDLO,Mali Lošinj,1,ImageProduction/Candidates/LDLO/LDLO_01.webp,missing,0,not_checked,not_checked,,
LDLO,Mali Lošinj,2,ImageProduction/Candidates/LDLO/LDLO_02.webp,missing,0,not_checked,not_checked,,
LDLO,Mali Lošinj,3,ImageProduction/Candidates/LDLO/LDLO_03.webp,missing,0,not_checked,not_checked,,
